Reviews,Sentiment
Katherine1.0 out of 5 stars,
Not FULLY Unlocked,negative
"Reviewed in the United States on February 13, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  Purchased this product advertised as fully unlocked. Inserted my sim card and it did not work. Contacted my service provider and they checked my IMEI number and it reported that the phone was still locked by the original carrier. Phone came in good condition just couldn't use any service provider.,negative
,
,
432 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.brenda4.0 out of 5 stars,
"NOT EXPECTED, GREAT PURCHASE!",negative
"Reviewed in the United States on August 17, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
  I was feeling a bit skeptical after I placed my order but I was proven wrong! The phone looks brand new besides some very minimal/ light scratches (almost impossible to notice) and the battery life is still at 100%. I also like that there was a screen protector on the phone,positive
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
brenda,
,
4.0 out of 5 stars,
,
"                NOT EXPECTED, GREAT PURCHASE!",positive
            ,
,
,
                ,
                    ,
                    ,
                        ,
                            ,
                            ,
                                ,
"                                    Reviewed in the United States on August 18, 2020",
                                ,
                            ,
                        ,
                    ,
                ,
            ,
,
,
            I was feeling a bit skeptical after I placed my order but I was proven wrong! The phone looks brand new besides some very minimal/ light scratches (almost impossible to notice) and the battery life is still at 100%. I also like that there was a screen protector on the phone,positive
        ,
,
,
                Images in this review,
            ,
,
,
,
,
,
,
,
   function toggleSeeAllView() {,
"       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
          imagePopoverController.toggleSeeAllView(true);,
       });,
   },
,
,
,
,
"        P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {",
"          A.on(""a:popover:beforeShow:R39GNX7EVNY944_gallerySection_main"", function(data) {",
"            imagePopoverController.initImagePopover(""R39GNX7EVNY944"", ""[https://images-na.ssl-images-amazon.com/images/I/616D1BxZsFL.jpg]"", data);",
          });,
        });,
    ,
,
220 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.James Roth1.0 out of 5 stars,
Phone was NOT unlocked,
"Reviewed in the United States on November 27, 2019Verified Purchase",
,
  Phone was not unlocked could it use it,negative
,
,
224 people found this helpful,
,
          Helpful,
,
,
Report abuse,
,
Showing 0 comments,
There was a problem loading comments right now. Please try again later.Craigs1.0 out of 5 stars,
Terribly Flawed. Donâ€™t waste your time.,negative
"Reviewed in the United States on October 16, 2020Size: 64GBColor: BlackService Provider: UnlockedProduct grade: RenewedVerified Purchase",
,
